section,sample_id,timepoint,time_order,conditioned_on,cell_state,comparison_type,n_bins,n_Fib_K14,n_cell_state,fixed_radius_um,cooccurrence_score,p_enrichment,fdr_within_17_FibK14_KC_SAC_states,n_permutations
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Dark,cross-state,25512,783,3074,50.0,0.025794780955491002,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Ductal,cross-state,25512,783,564,50.0,0.022931194358307844,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_IRS,cross-state,25512,783,327,50.0,0.0,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_ORS,cross-state,25512,783,366,50.0,0.014271478316610115,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_HFSC,cross-state,25512,783,45,50.0,0.07684463882861688,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_DP_DS,cross-state,25512,783,53,50.0,0.0,1.0,1.0,999
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_Matrix,cross-state,25512,783,18,50.0,0.0,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,Fib_K14,self,34538,2728,2728,50.0,2.981931900001607,0.001,0.017,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal,cross-state,34538,2728,247,50.0,0.2406040398847315,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Mig,cross-state,34538,2728,18,50.0,0.18031575905113645,1.0,1.0,999
