section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,CD8_T,1676.5685518084774,838.2842759042387,0.7581221748487466
26dpb_p2,Fib_K14,CD8_T,1869.612645483529,934.8063227417645,0.7591808899055935
26dpb_p2,Fib_K14,CD8_T,2062.6567391585804,1031.3283695792902,0.7720880954613446
26dpb_p2,Fib_K14,CD8_T,2255.700832833632,1127.850416416816,0.8049090606497057
26dpb_p2,Fib_K14,CD8_T,2448.7449265086834,1224.3724632543417,0.8207158745002372
26dpb_p2,Fib_K14,CD8_T,2641.789020183735,1320.8945100918675,0.8437414707286289
26dpb_p2,Fib_K14,CD8_T,2834.8331138587864,1417.4165569293932,0.8609686835670117
26dpb_p2,Fib_K14,CD8_T,3027.877207533838,1513.938603766919,0.8771633159629681
26dpb_p2,Fib_K14,CD8_T,3220.9213012088894,1610.4606506044447,0.8901389259259526
26dpb_p2,Fib_K14,CD8_T,3413.965394883941,1706.9826974419705,0.8975877605600687
26dpb_p2,Fib_K14,CD8_T,3607.0094885589924,1803.5047442794962,0.9003647236235423
26dpb_p2,Fib_K14,CD8_T,3800.053582234044,1900.026791117022,0.8962533284806419
26dpb_p2,Fib_K14,CD8_T,3993.0976759090954,1996.5488379545477,0.900844170093835
26dpb_p2,Fib_K14,CD8_T,4186.1417695841465,2093.0708847920732,0.9063164407395098
26dpb_p2,Fib_K14,CD8_T,4379.185863259198,2189.592931629599,0.9067857306391104
26dpb_p2,Fib_K14,CD8_T,4572.2299569342495,2286.1149784671247,0.9075819020984991
26dpb_p2,Fib_K14,CD8_T,4765.274050609301,2382.6370253046507,0.9094496647163207
26dpb_p2,Fib_K14,CD8_T,4958.3181442843525,2479.1590721421762,0.9135519400250777
26dpb_p2,Fib_K14,CD8_T,5151.3622379594035,2575.6811189797018,0.9162863545912587
26dpb_p2,Fib_K14,CD8_T,5344.4063316344555,2672.2031658172277,0.9174441838319974
26dpb_p2,Fib_K14,CD8_T,5537.450425309507,2768.7252126547537,0.9214376376761984
26dpb_p2,Fib_K14,CD8_T,5730.494518984558,2865.247259492279,0.9252108891918664
26dpb_p2,Fib_K14,CD8_T,5923.5386126596095,2961.7693063298047,0.9259213716293092
26dpb_p2,Fib_K14,CD8_T,6116.582706334661,3058.2913531673307,0.9268773818221095
26dpb_p2,Fib_K14,CD8_T,6309.626800009713,3154.8134000048567,0.9291669650885125
26dpb_p2,Fib_K14,CD8_T,6502.670893684764,3251.335446842382,0.9338061794598462
26dpb_p2,Fib_K14,CD8_T,6695.7149873598155,3347.8574936799077,0.9371575623222892
26dpb_p2,Fib_K14,CD8_T,6888.759081034867,3444.3795405174337,0.9405311406243362
26dpb_p2,Fib_K14,CD8_T,7081.803174709919,3540.9015873549597,0.9426144493919285
26dpb_p2,Fib_K14,CD8_T,7274.84726838497,3637.423634192485,0.9451965336488585
26dpb_p2,Fib_K14,CD8_T,7467.8913620600215,3733.9456810300107,0.947388862461929
26dpb_p2,Fib_K14,CD8_T,7660.935455735073,3830.4677278675367,0.9482109831209695
26dpb_p2,Fib_K14,CD8_T,7853.979549410125,3926.9897747050627,0.9484408290247722
26dpb_p2,Fib_K14,CD8_T,8047.023643085176,4023.511821542588,0.9486628061246304
26dpb_p2,Fib_K14,CD8_T,8240.067736760227,4120.033868380114,0.9521211483481614
26dpb_p2,Fib_K14,CD8_T,8433.11183043528,4216.55591521764,0.9556302493755531
26dpb_p2,Fib_K14,CD8_T,8626.155924110331,4313.077962055166,0.9593215317858316
26dpb_p2,Fib_K14,CD8_T,8819.200017785382,4409.600008892691,0.963569699118345
26dpb_p2,Fib_K14,CD8_T,9012.244111460433,4506.122055730217,0.9675186055053568
26dpb_p2,Fib_K14,CD8_T,9205.288205135486,4602.644102567743,0.9707913863740584
26dpb_p2,Fib_K14,CD8_T,9398.332298810537,4699.166149405269,0.9716328022525549
26dpb_p2,Fib_K14,CD8_T,9591.376392485588,4795.688196242794,0.9727822781929878
26dpb_p2,Fib_K14,CD8_T,9784.42048616064,4892.21024308032,0.973185846204208
26dpb_p2,Fib_K14,Endo_Arterial,518.3039897581684,259.1519948790842,2.432800039117884
26dpb_p2,Fib_K14,Endo_Arterial,711.3480834332199,355.67404171660996,2.008320848493353
26dpb_p2,Fib_K14,Endo_Arterial,904.3921771082714,452.1960885541357,1.7897651227853375
26dpb_p2,Fib_K14,Endo_Arterial,1097.436270783323,548.7181353916615,1.633713487124096
26dpb_p2,Fib_K14,Endo_Arterial,1290.4803644583744,645.2401822291872,1.5179791443197794
26dpb_p2,Fib_K14,Endo_Arterial,1483.524458133426,741.762229066713,1.4007100493986138
26dpb_p2,Fib_K14,Endo_Arterial,1676.5685518084774,838.2842759042387,1.3346538815817526
26dpb_p2,Fib_K14,Endo_Arterial,1869.612645483529,934.8063227417645,1.2442122268083715
