cell_type,region,count,region_bins,proportion,log2_enrichment,fisher_p,fisher_fdr
M1_Macrophage,Epi-Front,28,9595,0.002918186555497655,0.02319689216463178,1.0,1.0
M1_Macrophage,Newly-epi,49,14431,0.003395468089529485,0.23084693438148052,0.1951049237731387,0.3902098475462774
M2_Macrophage,Un-epi,67,23016,0.002911018421967327,0.19523853257623675,0.14350001324247103,0.31940325528162905
M2_Macrophage,Epi-Front,15,9595,0.001563314226159458,-0.6650983394311746,0.030844237976551468,0.08346087923066868
M2_Macrophage,Newly-epi,38,14431,0.0026332201510636823,0.058675327178832545,0.8429568076808621,0.9673850271169606
Mast,Un-epi,87,23016,0.0037799791449426487,0.0027431195585965753,1.0,1.0
Mast,Epi-Front,45,9595,0.004689942678478374,0.32160906258150834,0.11281291828503819,0.26841694350578055
Mast,Newly-epi,46,14431,0.0031875822881297206,-0.23584333020717554,0.1671635745890379,0.3443070640789139
Melanocyte,Un-epi,10,23016,0.00043448036148766077,-1.0841649456645686,0.0002810182668114904,0.0011406035535289905
Melanocyte,Epi-Front,12,9595,0.0012506513809275664,0.4296562359879403,0.27253839558663656,0.45866217793848596
Melanocyte,Newly-epi,23,14431,0.0015937911440648603,0.7515723341928338,0.005237763692661912,0.01642753158153054
NK,Un-epi,23,23016,0.0009993048314216198,0.14295762758427671,0.6476239727381055,0.8352533480173696
NK,Epi-Front,7,9595,0.0007295466388744137,-0.2424582138282979,0.57567752693284,0.7903727743364477
NK,Newly-epi,13,14431,0.0009008384727323123,0.016722129028633008,1.0,1.0
Neutrophil,Un-epi,3,23016,0.00013034410844629823,0.13822747567187946,1.0,1.0
Neutrophil,Epi-Front,1,9595,0.00010422094841063054,0.17811746899197575,1.0,1.0
Neutrophil,Newly-epi,2,14431,0.0001385905342665096,0.3262664994601628,1.0,1.0
Pericyte,Un-epi,184,23016,0.007994438651372959,0.13462298899766337,0.08285141961199324,0.2041695697581262
Pericyte,Epi-Front,58,9595,0.006044815007816571,-0.2602068828227838,0.12158266463390424,0.2843797918555726
Pericyte,Newly-epi,101,14431,0.006998821980458735,-0.05405224891903122,0.6387934719167931,0.8352533480173696
SAC_HF_DP_DS,Un-epi,22,23016,0.0009558567952728537,0.41464091130687325,0.08499398438819349,0.2057749095714158
SAC_HF_DP_DS,Epi-Front,3,9595,0.0003126628452318916,-1.007574848308653,0.13279223925644335,0.30041522979326524
SAC_HF_DP_DS,Newly-epi,9,14431,0.0006236574041992932,-0.15581882062069094,0.7112600463781269,0.8923080581834683
SAC_HF_HFSC,Un-epi,29,23016,0.0012599930483142162,-0.004907916157386039,1.0,1.0
SAC_HF_HFSC,Epi-Front,16,9595,0.0016675351745700886,0.41912556849577065,0.2600139668923043,0.44298675840911106
SAC_HF_HFSC,Newly-epi,15,14431,0.001039429006998822,-0.25988880417382676,0.4014812425314567,0.602221863797185
SAC_HF_IRS,Un-epi,226,23016,0.009819256169621133,0.16642920266842437,0.01741254630169705,0.05112619977945091
SAC_HF_IRS,Epi-Front,71,9595,0.007399687337154768,-0.23478428594287704,0.12444248804553101,0.28621772250472133
SAC_HF_IRS,Newly-epi,115,14431,0.007968955720324302,-0.13172314500322807,0.2378684743640948,0.420844223874937
SAC_HF_Matrix,Un-epi,6,23016,0.00026068821689259646,-0.12622900523111252,0.7911714273680104,0.9494057128416125
SAC_HF_Matrix,Epi-Front,5,9595,0.0005211047420531526,0.895045309921637,0.1794853556536541,0.36424969235594507
SAC_HF_Matrix,Newly-epi,3,14431,0.00020788580139976439,-0.3458479503560754,0.5716089560885343,0.7903727743364477
SAC_HF_ORS,Un-epi,1484,23016,0.06447688564476886,0.16060288121273908,6.568580871553556e-10,3.7769340011432944e-09
SAC_HF_ORS,Epi-Front,444,9595,0.04627410109431996,-0.31683647328760217,4.288925416749574e-08,2.2764296442747738e-07
SAC_HF_ORS,Newly-epi,786,14431,0.05446607996673827,-0.0823896903997047,0.04616416426904307,0.1179750864653323
SAC_SG_Clear,Un-epi,209,23016,0.00908063955509211,0.3306077174426477,3.3831346751728175e-06,1.60990546611672e-05
SAC_SG_Clear,Epi-Front,54,9595,0.005627931214174049,-0.3497319768232328,0.042406743845342626,0.11041755944636382
SAC_SG_Clear,Newly-epi,77,14431,0.00533573556926062,-0.4306084600239409,0.001138296224355192,0.004245537269216662
SAC_SG_Dark,Un-epi,5163,23016,0.22432221063607924,0.3830761174569919,6.589098222869196e-192,1.5154925912599152e-190
SAC_SG_Dark,Epi-Front,1364,9595,0.14215737363210004,-0.27461837941048306,1.0311945781106383e-18,6.77642151329848e-18
SAC_SG_Dark,Newly-epi,1565,14431,0.10844709306354376,-0.6651838292439728,1.2918386934046765e-139,1.9808193298871707e-138
SAC_SG_Ductal,Un-epi,566,23016,0.0245915884602016,0.3061092333328379,1.0001195264119554e-12,6.0007171584717325e-12
SAC_SG_Ductal,Epi-Front,165,9595,0.017196456487754037,-0.2068530910239158,0.0331447512833159,0.08796107071341527
SAC_SG_Ductal,Newly-epi,205,14431,0.014205529762317233,-0.4833624778474699,1.6008049873227636e-09,8.836443530021655e-09
SAC_SG_Progenitor,Un-epi,612,23016,0.026590198123044837,0.5274962669349075,1.4754469120614136e-38,1.2725729616529691e-37
SAC_SG_Progenitor,Epi-Front,125,9595,0.013027618551328817,-0.4972437983477089,5.1047726921166045e-06,2.348195438373638e-05
SAC_SG_Progenitor,Newly-epi,131,14431,0.009077679994456378,-1.018684926704198,1.2943460286007723e-26,9.401039576152977e-26
Schwann,Un-epi,29,23016,0.0012599930483142162,-0.02855918422203127,0.8982597254189204,1.0
Schwann,Epi-Front,11,9595,0.0011464304325169358,-0.12535786287031533,0.7515630429279905,0.9260330350362739
Schwann,Newly-epi,21,14431,0.0014552006097983507,0.18852837207675055,0.5784612333911683,0.7903727743364477
cDC1,Un-epi,12,23016,0.0005213764337851929,0.248903706827994,0.5163168871784279,0.7270584737818678
cDC1,Epi-Front,6,9595,0.0006253256904637832,0.5677696498509058,0.41290240861360367,0.6126938966524441
cDC1,Newly-epi,3,14431,0.00020788580139976439,-0.9141317099306013,0.15313726775542233,0.3302022335976294
cDC2,Un-epi,25,23016,0.0010862009037191519,0.2943466775891613,0.21631537702230175,0.40310387730885605
cDC2,Epi-Front,8,9595,0.0008337675872850443,-0.028333408475450444,1.0,1.0
cDC2,Newly-epi,9,14431,0.0006236574041992932,-0.4566852999802237,0.24152670216974553,0.42190740379018843
pDC,Un-epi,22,23016,0.0009558567952728537,0.1481259367381177,0.6397818764474633,0.8352533480173696
pDC,Epi-Front,5,9595,0.0005211047420531526,-0.6220131262977157,0.24517532367567219,0.4229274333405345
pDC,Newly-epi,14,14431,0.0009701337398655672,0.18771968649454007,0.6145429985609326,0.8314405274647912
