dataset,gene,matched_symbol,mean_expression,percent_positive,n_cells_sampled,h5ad
RatSpatial,KLF4,Klf4,0.32228490473654503,10.752,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,IGFL1,,,0.0,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,IGF1,Igf1,0.3553277218656454,11.732,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,COL1A1,Col1a1,4.535546119342295,98.98599999999999,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,COL3A1,Col3a1,3.690338278898177,91.782,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,POSTN,Postn,1.0290891016651622,32.616,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,LUM,Lum,1.4330630709636951,44.166,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,MMP2,Mmp2,1.1081325130926667,35.65,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,BMP2,Bmp2,0.001420042438584959,0.05,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
RatSpatial,SOX9,Sox9,0.07446786653251482,2.616,50000,F:\时空组学流程分析skills\课题3+大鼠成年乳鼠胚胎+再生\data\Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad
