species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Rat,Rat embryo,YZ_0dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,12714,93,0.0073147711184521,0.73147711184521,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_11dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7759,41,0.005284186106457017,0.5284186106457017,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_11dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7740,64,0.008268733850129198,0.8268733850129198,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_15dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10365,61,0.005885190545103714,0.5885190545103715,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_15dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,12160,35,0.0028782894736842104,0.2878289473684211,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_19dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7134,67,0.009391645640594337,0.9391645640594337,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_19dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6108,30,0.004911591355599214,0.4911591355599214,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_1dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8014,71,0.00885949588220614,0.8859495882206139,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_1dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7803,81,0.010380622837370242,1.0380622837370241,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_1dpi_3,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,14477,216,0.01492021827726739,1.492021827726739,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_1dpi_4,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,11959,169,0.014131616355882599,1.41316163558826,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_2dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7617,101,0.013259813574898255,1.3259813574898254,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_2dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7780,99,0.012724935732647815,1.2724935732647815,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
