cell_type,compartment,metric,n_sections,kruskal_statistic,kruskal_p,spearman_rho,spearman_p,kruskal_fdr,spearman_fdr
Endo_Prolif,Fib/Endo,median_x_um,10,5.427272727272722,0.24619661479864735,0.21398889174731894,0.5527517154799174,0.37353969141863735,0.6317162462627628
Endo_Prolif,Fib/Endo,median_depth,10,2.7545454545454504,0.5997041614811696,-0.3587460832234465,0.3086802439017633,0.6435849537846698,0.5020966589100704
Pericyte,Fib/Endo,median_x_um,10,7.118181818181817,0.12977310916444904,0.34615850135595705,0.3271756148334698,0.3221450310173305,0.5020966589100704
Pericyte,Fib/Endo,median_depth,10,2.972727272727269,0.562399751527048,-0.40909641069340386,0.24043166280382577,0.6236940143989654,0.43179563932115655
Schwann,Fib/Endo,median_x_um,10,4.7454545454545425,0.31442629830647634,0.43427157442838255,0.20982514389488174,0.43233616017140497,0.4196502877897635
Schwann,Fib/Endo,median_depth,10,3.4090909090909065,0.49183519144140375,-0.5853225568382547,0.07545554177400311,0.5744015698732747,0.27667031983801144
M1_Macrophage,Immune,median_x_um,10,6.109090909090909,0.19114807905191508,0.4405653653621272,0.20254456081818498,0.34012995029957166,0.4145097988837274
M1_Macrophage,Immune,median_depth,10,2.2636363636363654,0.6873972193641105,-0.3902150378921698,0.2649355726349633,0.7033832012097875,0.4571437331740543
M2_Macrophage,Immune,median_x_um,10,6.163636363636364,0.18725655324982834,0.6104977205732334,0.060844606433643304,0.34012995029957166,0.27667031983801144
M2_Macrophage,Immune,median_depth,10,5.127272727272725,0.2744860360994036,-0.6293790933744674,0.05120336007046364,0.40381367486633196,0.27667031983801144
LAM,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
LAM,Immune,median_depth,10,6.600000000000001,0.15859761982533194,-0.031468954668723376,0.9312297914362022,0.34012995029957166,0.9472759242081727
Neutrophil,Immune,median_x_um,10,7.936363636363637,0.0939372872422589,-0.06293790933744675,0.8628673905376142,0.3221450310173305,0.9039563138965482
Neutrophil,Immune,median_depth,10,4.5818181818181785,0.33295589511498414,0.03776274560246805,0.917511691464929,0.4432967385984294,0.9472759242081727
Mast,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
Mast,Immune,median_depth,10,3.9272727272727224,0.4159378836320755,-0.5664411840370207,0.0877885818824814,0.5083685244392033,0.29713058483301397
cDC1,Immune,median_x_um,10,6.872727272727268,0.14276882056449874,0.33986471042221245,0.3366329872237972,0.3221450310173305,0.5020966589100704
cDC1,Immune,median_depth,10,4.227272727272727,0.37612073939501056,-0.503503274699574,0.13790291298858187,0.46617781784170326,0.36117438152694664
cDC2,Immune,median_x_um,10,5.727272727272727,0.2204625233869479,0.15734477334361685,0.6642037593721292,0.3585137660585081,0.7242798353909465
cDC2,Immune,median_depth,10,7.118181818181817,0.12977310916444904,-0.7741362848505949,0.008580889744023603,0.3221450310173305,0.09438978718425962
pDC,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
pDC,Immune,median_depth,10,3.2727272727272734,0.5132649583285267,-0.503503274699574,0.13790291298858187,0.5865885238040305,0.36117438152694664
LGHS,Immune,median_x_um,3,2.0,0.36787944117144245,1.0,0.0,0.4624770117583848,0.0
LGHS,Immune,median_depth,3,2.0,0.36787944117144245,-0.5,0.6666666666666666,0.4624770117583848,0.7242798353909465
B_Mature,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
B_Mature,Immune,median_depth,10,6.954545454545453,0.1383098760594301,-0.503503274699574,0.13790291298858187,0.3221450310173305,0.36117438152694664
B_Plasma,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.4028026197596592,0.2484528477817245,0.3221450310173305,0.4372770120958351
B_Plasma,Immune,median_depth,10,6.463636363636361,0.1670960552311933,-0.597910138705744,0.06789346418993146,0.34012995029957166,0.27667031983801144
CD4_T,Immune,median_x_um,10,6.954545454545453,0.1383098760594301,0.27692680108476564,0.43858019398007625,0.3221450310173305,0.5360424593089821
CD4_T,Immune,median_depth,10,2.6999999999999957,0.6092146125178459,-0.3021019648197444,0.3962337264027575,0.6459142879707281,0.5360424593089821
CD8_T,Immune,median_x_um,10,6.2454545454545425,0.18155214450982263,0.25804542828353166,0.47163464935861016,0.34012995029957166,0.5608628262642932
CD8_T,Immune,median_depth,10,1.9090909090909065,0.7524747842595367,-0.2454578464160423,0.4942586187281787,0.7611239197107957,0.579930112641063
NK,Immune,median_x_um,10,5.590909090909086,0.23185331575429055,0.15734477334361685,0.6642037593721292,0.3585137660585081,0.7242798353909465
